,fold-change Control1 1b24,fold-change Control1 1b60,fold-change Control2 6a24,fold-change Control2 6a60,fold-change Control2 6b24,fold-change Control2 6b60
CX3CL1,0.06567241845672019,1.9886958291492394,0.03209984185066551,-1.2291610253760408,1.5863410937184583,-0.18553167513912203
CXCL1,0.8098697472704173,-0.10857300348817614,2.182778722064799,1.1332284603350953,2.229960612281141,1.4452784137989347
CXCL10,2.084198025426834,2.664955458649064,0,0,0,inf
CXCL11,2.2384645224666926,2.530101546330984,0.25910830841765914,inf,-0.34078373019220376,5.150944122104589
CXCL2,0.6526458543632105,0.49727857054965036,2.6031438264733247,1.554271541069763,4.142980078705424,2.9277349772618435
CXCL3,1.145921537950399,0.45453725918092175,2.51104720692254,1.0668192915532064,4.1628907414468115,2.067050003080163
CXCL5,0.3141308668679295,-0.03957588564087553,1.2967748751009867,0.5499520164964341,1.9460682467807027,1.0579839428849394
CXCL6,0.592436796488181,1.413546519181747,1.2414171979160982,-1.2316523609506473,2.169082995017269,0.6649898669363291
SERPINF1,1.4962691456235127,2.6710742558926506,-0.23856584267300948,0.1755851618623478,0.7547483578590429,0.3579913555888298
COL1A1,2.6090088995384892,-1.8081244741601583,-0.6554721817155555,-1.398369110947439,1.7445531163676902,-0.42342461292614236
ACE,-2.645008244656509,1.6151865962367387,-0.6448343624653651,0.615436847007803,-0.22158604714185043,-0.3298449632106382
AGT,inf,0.49741851829924455,inf,2.6540488288293145,7.018805391673997,inf
REN,0.5881073345892963,-0.47594705537087384,-2.7074646589597906,-2.592190701358477,-4.124782925271732,-3.544102440877479
IGF1R,0.5146463049371556,0.10789063753785601,-0.8505935049575271,-0.5718934055684135,-0.5236444733280935,-0.22526489319210918
